State,Abbreviation,Inches,Milli_metres,Rank
Alabama,AL,58.3,1480,4
Alaska,AK,22.5,572,39
Arizona,AZ,13.6,345,47
Arkansas,AR,50.6,1284,8
California,CA,22.2,563,40
Colorado,CO,15.9,405,44
Connecticut,CT,50.3,1279,9
Delaware,DE,45.7,1160,16
Florida,FL,54.5,1385,5
Georgia,GA,50.7,1287,7
Hawaii,HI,63.7,1618,1
Idaho,ID,18.9,481,42
Illinois,IL,39.2,996,27
Indiana,IN,41.7,1060,26
Iowa,IA,34,864,31
Kansas,KS,28.9,733,35
Kentucky,KY,48.9,1242,12
Louisiana,LA,60.1,1528,2
Maine,ME,42.2,1072,23
Maryland,MD,44.5,1131,18
Massachusetts,MA,47.7,1211,14
Michigan,MI,32.8,833,32
Minnesota,MN,27.3,693,37
Mississippi,MS,59,1499,3
Missouri,MO,42.2,1071,24
Montana,MT,15.3,390,45
Nebraska,NE,23.6,599,38
Nevada,NV,9.5,241,50
New Hampshire,NH,43.4,1103,20
New Jersey,NJ,47.1,1196,15
New Mexico,NM,14.6,370,46
New York,NY,41.8,1062,25
North Carolina,NC,50.3,1279,9
North Dakota,ND,17.8,452,43
Ohio,OH,39.1,993,28
Oklahoma,OK,36.5,927,30
Oregon,OR,27.4,695,36
Pennsylvania,PA,42.9,1089,21
Rhode Island,RI,47.9,1218,13
South Carolina,SC,49.8,1264,11
South Dakota,SD,20.1,511,41
Tennessee,TN,54.2,1376,6
Texas,TX,28.9,734,34
Utah,UT,12.2,310,49
Vermont,VT,42.7,1085,22
Virginia,VA,44.3,1125,19
Washington,WA,38.4,976,29
West Virginia,WV,45.2,1147,17
Wisconsin,WI,32.6,829,33
Wyoming,WY,12.9,328,48
