,New York,Los Angeles,Chicago,Houston,Phoenix,San Antonio,Philadelphia,San Diego,Dallas,Jacksonville
Winter Weather,16,0,21,1,0,11,45,4,11,2
Winter Storm,9,35,12,1,1,5,12,2,5,0
Heavy Snow,4,1,6,1,0,0,2,4,16,0
Strong Wind,6,3,1,0,4,1,6,20,1,1
Blizzard,1,1,0,0,0,0,1,0,0,0
Excessive Heat,3,0,4,6,73,2,21,24,13,0
Flash Flood,20,102,42,10,60,158,88,42,80,16
Thunderstorm Wind,19,35,155,42,205,82,151,27,122,199
High Wind,9,249,24,0,0,1,13,101,2,0
Hail,4,9,91,30,15,193,16,2,150,59
Heat,2,0,0,1,46,4,4,20,29,0
Tropical Storm,1,0,0,1,0,1,1,0,0,14
Lightning,2,1,7,2,2,3,0,13,11,46
Sneakerwave,0,1,0,0,0,0,0,0,0,0
Rip Current,0,1,6,0,0,0,0,1,0,11
Wildfire,0,32,0,0,0,2,0,8,1,2
Debris Flow,0,21,0,0,0,0,0,8,0,0
Funnel Cloud,0,1,0,1,5,0,1,4,0,4
Tornado,0,6,8,6,2,5,3,1,15,7
Dust Storm,0,1,0,0,38,0,0,3,0,0
Flood,0,1,68,0,10,4,19,25,11,31
Cold/Wind Chill,0,0,13,0,0,0,9,0,2,0
Heavy Rain,0,0,24,0,29,3,3,9,1,84
Sleet,0,0,1,0,0,0,0,0,3,0
Lake-Effect Snow,0,0,1,0,0,0,0,0,0,0
Coastal Flood,0,0,2,0,0,0,15,13,0,20
Extreme Cold/Wind Chill,0,0,1,1,0,2,0,0,2,0
Ice Storm,0,0,1,2,0,0,0,0,1,0
Lakeshore Flood,0,0,8,0,0,0,0,0,0,0
Drought,0,0,4,5,0,23,0,0,24,0
Frost/Freeze,0,0,0,0,3,0,0,0,0,0
Dense Fog,0,0,0,0,5,0,16,115,0,0
Dust Devil,0,0,0,0,2,0,0,0,0,0
Astronomical Low Tide,0,0,0,0,0,0,6,0,0,2
High Surf,0,0,0,0,0,0,0,54,0,2
