City,Disaster,Count
New York,Winter Weather,16
New York,Winter Storm,9
New York,Heavy Snow,4
New York,Strong Wind,6
New York,Blizzard,1
New York,Excessive Heat,3
New York,Flash Flood,20
New York,Thunderstorm Wind,19
New York,High Wind,9
New York,Hail,4
New York,Heat,2
New York,Tropical Storm,1
New York,Lightning,2
New York,Sneakerwave,0
New York,Rip Current,0
New York,Wildfire,0
New York,Debris Flow,0
New York,Funnel Cloud,0
New York,Tornado,0
New York,Dust Storm,0
New York,Flood,0
New York,Cold/Wind Chill,0
New York,Heavy Rain,0
New York,Sleet,0
New York,Lake-Effect Snow,0
New York,Coastal Flood,0
New York,Extreme Cold/Wind Chill,0
New York,Ice Storm,0
New York,Lakeshore Flood,0
New York,Drought,0
New York,Frost/Freeze,0
New York,Dense Fog,0
New York,Dust Devil,0
New York,Astronomical Low Tide,0
New York,High Surf,0
Los Angeles,Winter Weather,0
Los Angeles,Winter Storm,35
Los Angeles,Heavy Snow,1
Los Angeles,Strong Wind,3
Los Angeles,Blizzard,1
Los Angeles,Excessive Heat,0
Los Angeles,Flash Flood,102
Los Angeles,Thunderstorm Wind,35
Los Angeles,High Wind,249
Los Angeles,Hail,9
Los Angeles,Heat,0
Los Angeles,Tropical Storm,0
Los Angeles,Lightning,1
Los Angeles,Sneakerwave,1
Los Angeles,Rip Current,1
Los Angeles,Wildfire,32
Los Angeles,Debris Flow,21
Los Angeles,Funnel Cloud,1
Los Angeles,Tornado,6
Los Angeles,Dust Storm,1
Los Angeles,Flood,1
Los Angeles,Cold/Wind Chill,0
Los Angeles,Heavy Rain,0
Los Angeles,Sleet,0
Los Angeles,Lake-Effect Snow,0
Los Angeles,Coastal Flood,0
Los Angeles,Extreme Cold/Wind Chill,0
Los Angeles,Ice Storm,0
Los Angeles,Lakeshore Flood,0
Los Angeles,Drought,0
Los Angeles,Frost/Freeze,0
Los Angeles,Dense Fog,0
Los Angeles,Dust Devil,0
Los Angeles,Astronomical Low Tide,0
Los Angeles,High Surf,0
Chicago,Winter Weather,21
Chicago,Winter Storm,12
Chicago,Heavy Snow,6
Chicago,Strong Wind,1
Chicago,Blizzard,0
Chicago,Excessive Heat,4
Chicago,Flash Flood,42
Chicago,Thunderstorm Wind,155
Chicago,High Wind,24
Chicago,Hail,91
Chicago,Heat,0
Chicago,Tropical Storm,0
Chicago,Lightning,7
Chicago,Sneakerwave,0
Chicago,Rip Current,6
Chicago,Wildfire,0
Chicago,Debris Flow,0
Chicago,Funnel Cloud,0
Chicago,Tornado,8
Chicago,Dust Storm,0
Chicago,Flood,68
Chicago,Cold/Wind Chill,13
Chicago,Heavy Rain,24
Chicago,Sleet,1
Chicago,Lake-Effect Snow,1
Chicago,Coastal Flood,2
Chicago,Extreme Cold/Wind Chill,1
Chicago,Ice Storm,1
Chicago,Lakeshore Flood,8
Chicago,Drought,4
Chicago,Frost/Freeze,0
Chicago,Dense Fog,0
Chicago,Dust Devil,0
Chicago,Astronomical Low Tide,0
Chicago,High Surf,0
Houston,Winter Weather,1
Houston,Winter Storm,1
Houston,Heavy Snow,1
Houston,Strong Wind,0
Houston,Blizzard,0
Houston,Excessive Heat,6
Houston,Flash Flood,10
Houston,Thunderstorm Wind,42
Houston,High Wind,0
Houston,Hail,30
Houston,Heat,1
Houston,Tropical Storm,1
Houston,Lightning,2
Houston,Sneakerwave,0
Houston,Rip Current,0
Houston,Wildfire,0
